"","WoodName","ManUnit","Region","SiteManager","Hectares","Cpt","SubCpt","Area_ha","Management.Regime","Main.Species","Secondary.Species","Year","Ha_band","WoodAge"
"1","Aldouran Glen",4869,"Scotland","Daniel Aiken",13.11,2,"b",3.8,"Wood establishment","Birch (downy/silver)","Mixed native broadleaves",2002,"0-5",24
"2","Aldouran Glen",4869,"Scotland","Daniel Aiken",13.11,1,"c",0.11,"Wood establishment","Oak (sessile)","Mixed broadleaves",2002,"0-5",24
"3","Kilmagad Wood",5123,"Scotland","Izzy Filor",26.84,4,"f",2.61,"Wood establishment","Mixed native broadleaves","NULL",2010,"0-5",16
"4","Kilmagad Wood",5123,"Scotland","Izzy Filor",26.84,1,"c",0.81,"Wood establishment","Oak (sessile)","Mixed native broadleaves",2016,"0-5",10
"5","Kilmagad Wood",5123,"Scotland","Izzy Filor",26.84,3,"c",4.11,"Wood establishment","Mixed native broadleaves","Mixed broadleaves",2010,"0-5",16
"6","Kilmagad Wood",5123,"Scotland","Izzy Filor",26.84,4,"a",0.5,"Wood establishment","Mixed native broadleaves","Mixed broadleaves",2003,"0-5",23
"7","Kilmagad Wood",5123,"Scotland","Izzy Filor",26.84,5,"a",1.44,"Wood establishment","Mixed native broadleaves","NULL",2009,"0-5",17
"8","Kilmagad Wood",5123,"Scotland","Izzy Filor",26.84,5,"c",2.68,"Wood establishment","Mixed native broadleaves","NULL",2010,"0-5",16
"9","Butterdean Wood",4907,"Scotland","Daniel Aiken",42.15,1,"c",5.51,"Wood establishment","NULL","NULL",2020,"6-25",6
"10","Butterdean Wood",4907,"Scotland","Daniel Aiken",42.15,2,"b",3.13,"Wood establishment","NULL","NULL",2020,"0-5",6
"11","Thwaitestones",4278,"North","Jess Darwin",14.92,2,"b",2.42,"Wood establishment","Mixed native broadleaves","Mixed native broadleaves",2002,"0-5",24
"12","Hedley Hall",4459,"North","Sam Jama",43.3,4,"c",13.48,"Wood establishment","Oak (pedunculate)","Hazel",2019,"6-25",7
"13","Hedley Hall",4459,"North","Sam Jama",43.3,4,"a",13.65,"Wood establishment","Aspen","Scots pine",2018,"6-25",8
"14","Scaleber Wood",5254,"North","Jess Darwin",1.03,2,"a",2.62,"Wood establishment","Ash","Mixed native broadleaves",2000,"0-5",26
"15","Eliburn Woods",4885,"Scotland","Hannah Patterson",7.81,17,"b",0.39,"Wood establishment","Mixed native broadleaves","Hawthorn species",2012,"0-5",14
"16","Wilderness",4890,"Scotland","Hannah Patterson",18.58,40,"d",1.39,"Wood establishment","Mixed native broadleaves","NULL",2012,"0-5",14
"17","Wilderness",4890,"Scotland","Hannah Patterson",18.58,40,"b",0.54,"Wood establishment","Mixed native broadleaves","NULL",2012,"0-5",14
"18","Longacre Wood",5545,"North","Neil Oxley",2.3,1,"a",2.3,"Wood establishment","Oak (pedunculate)","Ash",2004,"0-5",22
"19","Longacre Wood",5545,"North","Neil Oxley",2.3,2,"a",3.19,"Wood establishment","Oak (pedunculate)","Ash",2005,"0-5",21
"20","North Wood",4881,"Scotland","Hannah Patterson",35.23,1,"b",1.62,"Wood establishment","Mixed native broadleaves","Sycamore",2016,"0-5",10
"21","North Wood",4881,"Scotland","Hannah Patterson",35.23,1,"j",2.16,"Wood establishment","Mixed conifers","Mixed broadleaves",2016,"0-5",10
"22","Nut Wood",4067,"Central","Luke Shenton",5.1,2,"b",17.06,"Wood establishment","Alder species","NULL",2001,"6-25",25
"23","Coed Dolifor",4085,"Wales","Rob Davies",11.54,2,"f",0.05,"Wood establishment","Birch (downy/silver)","NULL",2013,"0-5",13
"24","King's Cliffe Millennium Wood",5291,"Central","Matt George",4.51,1,"a",4.51,"Wood establishment","Alder species","NULL",2000,"0-5",26
"25","Coed Cwr y Pwll",5248,"Wales","John Phillips",6.62,1,"a",3.55,"Wood establishment","Oak (sessile)","Ash",2000,"0-5",26
